Sample,Protein,Total Area
c2b3_20-R2,sp|P27250|AHR_ECOLI,5355
c2b3_20-R2,sp|P69451|LCFA_ECOLI,689653
c2b3_20-R2,sp|Q41635|FATB_UMBCA,262631
c2b3_20-R2,sp|Q6F7B8|ACR1_ACIAD,2144
c2b3_20-R2,tr|A1U2T0|A1U2T0_MARHV,371748
c2b3_20-R2,tr|A1U3L3|A1U3L3_MARHV,2230
c2b3_20-R3,sp|P27250|AHR_ECOLI,4287
c2b3_20-R3,sp|P69451|LCFA_ECOLI,660478
c2b3_20-R3,sp|Q41635|FATB_UMBCA,269566
c2b3_20-R3,sp|Q6F7B8|ACR1_ACIAD,4529
c2b3_20-R3,tr|A1U2T0|A1U2T0_MARHV,371240
c2b3_20-R3,tr|A1U3L3|A1U3L3_MARHV,312
c2b3_21-R1,sp|P27250|AHR_ECOLI,2324
c2b3_21-R1,sp|P69451|LCFA_ECOLI,47889
c2b3_21-R1,sp|Q41635|FATB_UMBCA,59855
c2b3_21-R1,sp|Q6F7B8|ACR1_ACIAD,3673
c2b3_21-R1,tr|A1U2T0|A1U2T0_MARHV,28448
c2b3_21-R1,tr|A1U3L3|A1U3L3_MARHV,435
c2b3_21-R2,sp|P27250|AHR_ECOLI,435
c2b3_21-R2,sp|P69451|LCFA_ECOLI,41662
c2b3_21-R2,sp|Q41635|FATB_UMBCA,49064
c2b3_21-R2,sp|Q6F7B8|ACR1_ACIAD,3520
c2b3_21-R2,tr|A1U2T0|A1U2T0_MARHV,24336
c2b3_21-R2,tr|A1U3L3|A1U3L3_MARHV,657
c2b3_21-R3,sp|P27250|AHR_ECOLI,1178
c2b3_21-R3,sp|P69451|LCFA_ECOLI,49461
c2b3_21-R3,sp|Q41635|FATB_UMBCA,64696
c2b3_21-R3,sp|Q6F7B8|ACR1_ACIAD,4597
c2b3_21-R3,tr|A1U2T0|A1U2T0_MARHV,28093
c2b3_21-R3,tr|A1U3L3|A1U3L3_MARHV,828
c2b3_22-R1,sp|P27250|AHR_ECOLI,625
c2b3_22-R1,sp|P69451|LCFA_ECOLI,11739
c2b3_22-R1,sp|Q41635|FATB_UMBCA,45913
c2b3_22-R1,sp|Q6F7B8|ACR1_ACIAD,3377
c2b3_22-R1,tr|A1U2T0|A1U2T0_MARHV,48094
c2b3_22-R1,tr|A1U3L3|A1U3L3_MARHV,408
c2b3_22-R2,sp|P27250|AHR_ECOLI,3280
c2b3_22-R2,sp|P69451|LCFA_ECOLI,10798
c2b3_22-R2,sp|Q41635|FATB_UMBCA,45441
c2b3_22-R2,sp|Q6F7B8|ACR1_ACIAD,1605
c2b3_22-R2,tr|A1U2T0|A1U2T0_MARHV,50924
c2b3_22-R2,tr|A1U3L3|A1U3L3_MARHV,0
c2b3_22-R3,sp|P27250|AHR_ECOLI,2045
c2b3_22-R3,sp|P69451|LCFA_ECOLI,11314
c2b3_22-R3,sp|Q41635|FATB_UMBCA,43247
c2b3_22-R3,sp|Q6F7B8|ACR1_ACIAD,0
c2b3_22-R3,tr|A1U2T0|A1U2T0_MARHV,36895
c2b3_22-R3,tr|A1U3L3|A1U3L3_MARHV,1378
c2b3_23-R1,sp|P27250|AHR_ECOLI,548
c2b3_23-R1,sp|P69451|LCFA_ECOLI,1962
c2b3_23-R1,sp|Q41635|FATB_UMBCA,50771
c2b3_23-R1,sp|Q6F7B8|ACR1_ACIAD,1835
c2b3_23-R1,tr|A1U2T0|A1U2T0_MARHV,34034
c2b3_23-R1,tr|A1U3L3|A1U3L3_MARHV,435
c2b3_23-R2,sp|P27250|AHR_ECOLI,996
c2b3_23-R2,sp|P69451|LCFA_ECOLI,906
c2b3_23-R2,sp|Q41635|FATB_UMBCA,48390
c2b3_23-R2,sp|Q6F7B8|ACR1_ACIAD,3608
