Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Media,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,0.0,27.0
47082,Ajinomoto Cycle 1,,47181,b3-21-3,F,JBEI-17827,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48272,b3-21-3,LCFA_ECOLI,,2017-09-06 22:22:22.008811+00:00,hours,,208120.0,
47082,Ajinomoto Cycle 1,,47183,b3-23-2,F,JBEI-17824,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48274,b3-23-2,LCFA_ECOLI,,2017-09-06 22:22:22.501272+00:00,hours,,431874.0,
47082,Ajinomoto Cycle 1,,47184,b3-23-3,F,JBEI-17824,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48275,b3-23-3,LCFA_ECOLI,,2017-09-06 22:22:22.701254+00:00,hours,,420505.0,
47082,Ajinomoto Cycle 1,,47184,b3-23-3,F,JBEI-17824,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48275,b3-23-3,FATB_UMBCA,,2017-09-06 22:22:22.731081+00:00,hours,,229566.0,
47082,Ajinomoto Cycle 1,,47183,b3-23-2,F,JBEI-17824,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48274,b3-23-2,FATB_UMBCA,,2017-09-06 22:22:22.532552+00:00,hours,,230643.0,
47082,Ajinomoto Cycle 1,,47183,b3-23-2,F,JBEI-17824,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48274,b3-23-2,ACR1_ACIAD,,2017-09-06 22:22:22.566300+00:00,hours,,38909.0,
47082,Ajinomoto Cycle 1,,47182,b3-23-1,F,JBEI-17824,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48273,b3-23-1,ACR1_ACIAD,,2017-09-06 22:22:22.332056+00:00,hours,,35029.0,
47082,Ajinomoto Cycle 1,,47173,b3-16-1,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48264,b3-16-1,FATB_UMBCA,,2017-09-06 22:22:20.364286+00:00,hours,,98067.0,
47082,Ajinomoto Cycle 1,,47177,b3-18-2,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48268,b3-18-2,FATB_UMBCA,,2017-09-06 22:22:21.166917+00:00,hours,,87990.0,
47082,Ajinomoto Cycle 1,,47179,b3-21-1,F,JBEI-17827,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48270,b3-21-1,FATB_UMBCA,,2017-09-06 22:22:21.615918+00:00,hours,,236836.0,
47082,Ajinomoto Cycle 1,,47180,b3-21-2,F,JBEI-17827,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48271,b3-21-2,LCFA_ECOLI,,2017-09-06 22:22:21.803711+00:00,hours,,201775.0,
47082,Ajinomoto Cycle 1,,47179,b3-21-1,F,JBEI-17827,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48270,b3-21-1,LCFA_ECOLI,,2017-09-06 22:22:21.574740+00:00,hours,,203935.0,
47082,Ajinomoto Cycle 1,,47174,b3-16-2,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48265,b3-16-2,A1U2T0_MARHV,,2017-09-06 22:22:20.629649+00:00,hours,,3475.0,
47082,Ajinomoto Cycle 1,,47177,b3-18-2,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1941,Targeted Proteomics,48268,b3-18-2,LCFA_ECOLI,,2017-09-06 22:22:21.130395+00:00,hours,,290265.0,
