Line Name,Protein Name,Total Area
C2-S15-B2.3-R2,FadD,112906.0
C2-S15-B2.3-R3,FadD,109250.0
C2-S16-B2.3-R1,FadD,53887.0
C2-S16-B2.3-R2,FadD,50384.0
C2-S16-B2.3-R3,FadD,57026.0
C2-S17-B2.3-R1,FadD,33553.0
C2-S17-B2.3-R2,FadD,39194.0
C2-S17-B2.3-R3,FadD,40577.0
C2-S19-B2.3-R1,FadD,3380.0
C2-S19-B2.3-R2,FadD,2592.0
C2-S19-B2.3-R3,FadD,2532.0
C2-S20-B2.3-R1,FadD,677233.0
C2-S20-B2.3-R2,FadD,689653.0
C2-S20-B2.3-R3,FadD,660478.0
C2-S21-B2.3-R1,FadD,47889.0
C2-S21-B2.3-R2,FadD,41662.0
C2-S21-B2.3-R3,FadD,49461.0
C2-S22-B2.3-R1,FadD,11739.0
C2-S22-B2.3-R2,FadD,10798.0
C2-S22-B2.3-R3,FadD,11314.0
C2-S23-B2.3-R1,FadD,1962.0
C2-S23-B2.3-R2,FadD,906.0
C2-S23-B2.3-R3,FadD,1785.0
C2-S5-B2.3-R1,FadD,82467.0
C2-S5-B2.3-R2,FadD,85676.0
C2-S5-B2.3-R3,FadD,92348.0
C2-S7-B2.3-R1,FadD,153996.0
C2-S7-B2.3-R2,FadD,156265.0
C2-S7-B2.3-R3,FadD,159436.0
C2-S8-B2.3-R1,FadD,59017.0
C2-S8-B2.3-R2,FadD,55927.0
C2-S8-B2.3-R3,FadD,54802.0
C2-S1-B2.4-R1,FadD,217353.0
C2-S1-B2.4-R2,FadD,231424.0
C2-S1-B2.4-R3,FadD,235110.0
C2-S2-B2.4-R1,FadD,285965.0
C2-S2-B2.4-R2,FadD,294208.0
C2-S2-B2.4-R3,FadD,296409.0
C2-S4-B2.4-R1,FadD,247382.0
C2-S4-B2.4-R2,FadD,236865.0
C2-S4-B2.4-R3,FadD,251422.0
C1-S11-B2.4-R1,FadD,217404.0
C1-S11-B2.4-R2,FadD,219170.0
C1-S11-B2.4-R3,FadD,211659.0
C2-S11-B2.4-R1,FadD,269720.0
C2-S11-B2.4-R2,FadD,246862.0
C2-S11-B2.4-R3,FadD,229763.0
C2-S14-B2.4-R1,FadD,234896.0
C2-S14-B2.4-R2,FadD,201418.0
C2-S14-B2.4-R3,FadD,226752.0
C2-S24-B2.4-R1,FadD,1865.0
C2-S24-B2.4-R2,FadD,178.0
C2-S24-B2.4-R3,FadD,5650.0
C1-S32-B2.4-R1-delPoxB,FadD,503571.0
C1-S32-B2.4-R2-delPoxB,FadD,531396.0
C1-S32-B2.4-R3-delPoxB,FadD,490153.0
C1-S32-B2.4-R1-delPta,FadD,401072.0
C1-S32-B2.4-R2-delPta,FadD,373924.0
C1-S32-B2.4-R3-delPta,FadD,409379.0
C1-S32-B2.4-R1-delPtaelPoxB,FadD,106205.0
C1-S32-B2.4-R2-delPtaelPoxB,FadD,106337.0
C1-S32-B2.4-R3-delPtaelPoxB,FadD,107120.0
C0-S9017-B2.4-R1,FadD,43330.0
C0-S9017-B2.4-R2,FadD,43925.0
C0-S9017-B2.4-R3,FadD,45408.0
C2-S1-B2.5-R1-IPTG0.5,FadD,126425.0
C2-S1-B2.5-R2-IPTG0.5,FadD,116034.0
C2-S1-B2.5-R3-IPTG0.5,FadD,126423.0
C2-S1-B2.5-R1-IPTG1.0,FadD,124402.0
C2-S1-B2.5-R2-IPTG1.0,FadD,119281.0
C2-S1-B2.5-R3-IPTG1.0,FadD,128663.0
C2-S2-B2.5-R1-IPTG0.5,FadD,167943.0
C2-S2-B2.5-R2-IPTG0.5,FadD,152727.0
C2-S2-B2.5-R3-IPTG0.5,FadD,159938.0
C2-S2-B2.5-R1-IPTG1.0,FadD,159832.0
C2-S2-B2.5-R2-IPTG1.0,FadD,161812.0
C2-S2-B2.5-R3-IPTG1.0,FadD,162690.0
C2-S3-B2.5-R1,FadD,181131.0
C2-S3-B2.5-R2,FadD,179799.0
C2-S3-B2.5-R3,FadD,180935.0
C2-S3-B2.5-R1-IPTG0.5,FadD,170654.0
C2-S3-B2.5-R2-IPTG0.5,FadD,160253.0
C2-S3-B2.5-R3-IPTG0.5,FadD,168037.0
C2-S3-B2.5-R1-IPTG1.0,FadD,168049.0
C2-S3-B2.5-R2-IPTG1.0,FadD,166066.0
C2-S3-B2.5-R3-IPTG1.0,FadD,175714.0
C2-S4-B2.5-R1-IPTG0.5,FadD,136436.0
C2-S4-B2.5-R2-IPTG0.5,FadD,132344.0
C2-S4-B2.5-R3-IPTG0.5,FadD,134998.0
C2-S4-B2.5-R1-IPTG1.0,FadD,129527.0
C2-S4-B2.5-R2-IPTG1.0,FadD,131082.0
C2-S4-B2.5-R3-IPTG1.0,FadD,126337.0
C2-S7-B2.5-R1,FadD,162870.0
C2-S7-B2.5-R2,FadD,155765.0
C2-S7-B2.5-R3,FadD,163614.0
C2-S9-B2.5-R1,FadD,52969.0
C2-S9-B2.5-R2,FadD,50317.0
C2-S9-B2.5-R3,FadD,49690.0
C1-S11-B2.5-R1,FadD,157833.0
C1-S11-B2.5-R2,FadD,164543.0
C1-S11-B2.5-R3,FadD,161957.0
C1-S11-B2.5-R1-IPTG0.5,FadD,146235.0
C1-S11-B2.5-R2-IPTG0.5,FadD,123769.0
C1-S11-B2.5-R3-IPTG0.5,FadD,131872.0
C2-S18-B2.5-R1,FadD,118042.0
C2-S18-B2.5-R2,FadD,110866.0
C2-S18-B2.5-R3,FadD,112250.0
C0-S9017-B2.5-R1,FadD,24620.0
C0-S9017-B2.5-R2,FadD,23981.0
C0-S9017-B2.5-R3,FadD,26673.0
C1-S1-B1.1-R1,UcFatB1,131969.0
C1-S1-B1.1-R2,UcFatB1,155128.0
C1-S2-B1.1-R1,UcFatB1,123692.0
C1-S2-B1.1-R2,UcFatB1,161836.0
C1-S4-B1.1-R1,UcFatB1,114226.0
C1-S4-B1.1-R2,UcFatB1,117131.0
C1-S8-B1.1-R1,UcFatB1,113884.0
C1-S8-B1.1-R2,UcFatB1,107398.0
C1-S9-B1.1-R1,UcFatB1,136812.0
C1-S9-B1.1-R2,UcFatB1,142616.0
C1-S11-B1.1-R1,UcFatB1,73491.0
C1-S11-B1.1-R2,UcFatB1,76212.0
C1-S12-B1.1-R1,UcFatB1,76399.0
C1-S12-B1.1-R2,UcFatB1,77474.0
C1-S15-B1.1-R1,UcFatB1,59741.0
C1-S15-B1.1-R2,UcFatB1,83972.0
C1-S16-B1.1-R1,UcFatB1,105024.0
C1-S16-B1.1-R2,UcFatB1,73675.0
C1-S22-B1.1-R1,UcFatB1,300131.0
C1-S22-B1.1-R2,UcFatB1,291542.0
C0-S9017-B1.1-R1,UcFatB1,0.0
C0-S9017-B1.1-R2,UcFatB1,0.0
C1-S11-B1.2-R1,UcFatB1,61346.0
C1-S11-B1.2-R2,UcFatB1,69825.0
C1-S11-B1.2-R3,UcFatB1,67842.0
C1-S19-B1.2-R1,UcFatB1,73678.0
C1-S19-B1.2-R2,UcFatB1,73549.0
C1-S19-B1.2-R3,UcFatB1,72968.0
C1-S25-B1.2-R1,UcFatB1,81224.0
C1-S25-B1.2-R2,UcFatB1,90435.0
C1-S25-B1.2-R3,UcFatB1,90090.0
C1-S26-B1.2-R1,UcFatB1,97422.0
C1-S26-B1.2-R2,UcFatB1,93899.0
C1-S26-B1.2-R3,UcFatB1,92513.0
C1-S27-B1.2-R1,UcFatB1,118379.0
C1-S27-B1.2-R2,UcFatB1,116824.0
C1-S27-B1.2-R3,UcFatB1,125219.0
C1-S28-B1.2-R1,UcFatB1,86256.0
C1-S28-B1.2-R2,UcFatB1,81770.0
C1-S28-B1.2-R3,UcFatB1,86045.0
C1-S29-B1.2-R1,UcFatB1,97741.0
C1-S29-B1.2-R2,UcFatB1,98703.0
C1-S29-B1.2-R3,UcFatB1,100982.0
C1-S30-B1.2-R1,UcFatB1,129051.0
C1-S30-B1.2-R2,UcFatB1,127434.0
C1-S30-B1.2-R3,UcFatB1,128552.0
C1-S31-B1.2-R1,UcFatB1,188519.0
C1-S31-B1.2-R2,UcFatB1,180955.0
C1-S31-B1.2-R3,UcFatB1,184261.0
C1-S32-B1.2-R1,UcFatB1,163592.0
C1-S32-B1.2-R2,UcFatB1,163693.0
C1-S32-B1.2-R3,UcFatB1,157030.0
C1-S33-B1.2-R1,UcFatB1,156275.0
C1-S33-B1.2-R2,UcFatB1,148812.0
C1-S33-B1.2-R3,UcFatB1,158485.0
C1-S34-B1.2-R1,UcFatB1,168689.0
C1-S34-B1.2-R2,UcFatB1,162770.0
C1-S34-B1.2-R3,UcFatB1,167169.0
C1-S35-B1.2-R1,UcFatB1,358515.0
C1-S35-B1.2-R2,UcFatB1,353444.0
C1-S35-B1.2-R3,UcFatB1,355554.0
C1-S36-B1.2-R1,UcFatB1,232136.0
C1-S36-B1.2-R2,UcFatB1,232557.0
C1-S36-B1.2-R3,UcFatB1,227259.0
C0-S9017-B1.2-R1,UcFatB1,0.0
C0-S9017-B1.2-R2,UcFatB1,0.0
C0-S9017-B1.2-R3,UcFatB1,0.0
C1-S1-B1.3-R1,UcFatB1,142442.0
C1-S1-B1.3-R2,UcFatB1,137559.0
C1-S1-B1.3-R3,UcFatB1,140317.0
C1-S2-B1.3-R1,UcFatB1,139410.0
C1-S2-B1.3-R2,UcFatB1,147915.0
C1-S2-B1.3-R3,UcFatB1,153000.0
C1-S3-B1.3-R1,UcFatB1,125322.0
C1-S3-B1.3-R2,UcFatB1,131057.0
C1-S3-B1.3-R3,UcFatB1,125472.0
C1-S5-B1.3-R1,UcFatB1,107258.0
C1-S5-B1.3-R2,UcFatB1,109847.0
C1-S5-B1.3-R3,UcFatB1,107696.0
C1-S6-B1.3-R1,UcFatB1,50149.0
C1-S6-B1.3-R2,UcFatB1,53004.0
C1-S6-B1.3-R3,UcFatB1,53533.0
C1-S7-B1.3-R1,UcFatB1,103613.0
C1-S7-B1.3-R2,UcFatB1,101283.0
C1-S7-B1.3-R3,UcFatB1,103892.0
C1-S8-B1.3-R1,UcFatB1,105707.0
